Date,Open,High,Low,Close,Volume
2025-01-13 17:10:00,577.21,577.61,577.21,577.58,42835.0
2025-01-13 17:15:00,577.6,578.22,577.51,578.1,50497.0
2025-01-13 17:20:00,578.11,578.44,577.93,578.19,46056.0
2025-01-13 17:25:00,578.11,578.52,578.11,578.23,58324.0
2025-01-13 17:30:00,578.16,578.44,577.8,578.36,47341.0
2025-01-13 17:35:00,578.34,578.41,577.77,577.77,51516.0
2025-01-13 17:40:00,577.74,578.09,577.62,577.81,41705.0
2025-01-13 17:45:00,577.8,578.5,577.76,578.28,27700.0
2025-01-13 17:50:00,578.28,578.71,578.21,578.37,24573.0
2025-01-13 17:55:00,578.46,579.54,578.46,579.46,53814.0
2025-01-13 18:00:00,579.4,579.52,579.13,579.3,49611.0
2025-01-13 18:05:00,579.26,579.7,578.98,579.37,42945.0
2025-01-13 18:10:00,579.38,579.74,579.34,579.51,37813.0
2025-01-13 18:15:00,579.56,579.59,578.96,579.13,35334.0
2025-01-13 18:20:00,579.13,579.25,578.89,579.13,28072.0
2025-01-13 18:25:00,579.17,579.67,579.08,579.67,39021.0
2025-01-13 18:30:00,579.68,580.08,579.42,579.96,57105.0
2025-01-13 18:35:00,579.92,580.15,579.5,579.98,66092.0
2025-01-13 18:40:00,579.99,579.99,579.39,579.45,52914.0
2025-01-13 18:45:00,579.45,580.27,579.37,580.16,55550.0
2025-01-13 18:50:00,580.16,580.25,579.61,579.68,44317.0
2025-01-13 18:55:00,579.56,580.11,579.47,580.08,50591.0
2025-01-13 19:00:00,580.01,580.19,579.4,579.6,47452.0
2025-01-13 19:05:00,579.61,579.99,579.49,579.67,39632.0
2025-01-13 19:10:00,579.63,580.01,579.26,579.38,70563.0
2025-01-13 19:15:00,579.4,579.48,579.13,579.16,47120.0
2025-01-13 19:20:00,579.18,579.76,578.97,579.52,48270.0
2025-01-13 19:25:00,579.58,580.36,579.41,580.31,48740.0
2025-01-13 19:30:00,580.24,580.51,579.98,580.08,45032.0
2025-01-13 19:35:00,580.21,580.65,579.71,580.47,60722.0
2025-01-13 19:40:00,580.46,580.99,580.44,580.73,62575.0
2025-01-13 19:45:00,580.7,580.73,579.65,579.73,83434.0
