Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00,99.94951311366799,99.96085342835143,99.8650994950977,99.94951311366799,347
2024-01-01 00:05:00,99.94951311366799,100.19628453109426,99.93100322914806,100.10560910269908,656
2024-01-01 00:10:00,100.10560910269908,100.28690291353563,99.99187609901698,100.03546424622543,343
2024-01-01 00:15:00,100.03546424622543,100.05785475793901,99.96541200075039,100.05112800558838,162
2024-01-01 00:20:00,100.05112800558838,100.10377644967797,99.69807336123111,99.8645208081205,335
2024-01-01 00:25:00,99.8645208081205,100.21199540890044,99.84025566248671,100.07415077465933,131
2024-01-01 00:30:00,100.07415077465933,100.26019671999231,99.84761423650048,100.22563820408344,921
2024-01-01 00:35:00,100.22563820408344,100.25300260263202,100.076857447831,100.14991706951483,161
2024-01-01 00:40:00,100.14991706951483,100.23666321871922,100.0352671468879,100.09683119372791,380
2024-01-01 00:45:00,100.09683119372791,100.21716058399683,100.00083275273225,100.03463703467715,923
2024-01-01 00:50:00,100.03463703467715,100.18485442255745,99.99866479075921,100.14866053542596,517
2024-01-01 00:55:00,100.14866053542596,100.16674128794817,99.96174389804408,100.12369593942496,182
2024-01-01 01:00:00,100.12369593942496,100.21284510403297,99.96082179856276,100.09616455534713,307
2024-01-01 01:05:00,100.09616455534713,100.1416329175834,99.93800596325379,100.03038387052366,822
2024-01-01 01:10:00,100.03038387052366,100.12313026489306,99.80456748585466,100.11624407887518,656
2024-01-01 01:15:00,100.11624407887518,100.55460112062114,100.00352587117962,100.50197051540508,947
2024-01-01 01:20:00,100.50197051540508,100.84645911674885,100.27932316124723,100.73278689312514,138
2024-01-01 01:25:00,100.73278689312514,101.0252782133435,100.71120508549741,100.94306004826662,256
2024-01-01 01:30:00,100.94306004826662,101.00725956430183,100.93282100110183,100.96427469213563,132
2024-01-01 01:35:00,100.96427469213563,100.9827346831048,100.8220364381524,100.85370689962582,328
2024-01-01 01:40:00,100.85370689962582,100.85918336482756,100.6862482078056,100.82471288633623,372
2024-01-01 01:45:00,100.82471288633623,101.06748376350616,100.6876951585869,100.9597256082924,229
2024-01-01 01:50:00,100.9597256082924,101.01024542815667,100.92639709675095,100.97592376597186,189
2024-01-01 01:55:00,100.97592376597186,101.15963528378101,100.96791958971548,101.11239002021159,276
2024-01-01 02:00:00,101.11239002021159,101.2025052191512,101.04242603093607,101.12706215259772,342
2024-01-01 02:05:00,101.12706215259772,101.3639825121786,101.09945724384252,101.26030694020925,100
2024-01-01 02:10:00,101.26030694020925,101.37981042099314,100.93227963680381,101.01924896760312,304
2024-01-01 02:15:00,101.01924896760312,101.25872268413505,100.83163746719069,101.03632738720721,621
2024-01-01 02:20:00,101.03632738720721,101.22673054486465,100.85354884454141,100.88670756978094,614
2024-01-01 02:25:00,100.88670756978094,101.46215228586064,100.86706435491264,101.42692357286161,601
2024-01-01 02:30:00,101.42692357286161,101.66616087703846,101.37967397996228,101.5846487112945,525
2024-01-01 02:35:00,101.5846487112945,101.70555408771531,101.29104189899252,101.47122023050706,409
2024-01-01 02:40:00,101.47122023050706,101.49875082759756,101.35663397656633,101.42222856896306,364
2024-01-01 02:45:00,101.42222856896306,101.7178332886579,101.40053988139039,101.63009359734039,347
